EEG1,EEG2,Acc_X,Acc_Y,Acc_Z,User_Number
855.3897705,837.2949829,-656.2510376,792.9699707,136.7189636,1
842.2299194,860.324707,-656.2510376,792.9699707,136.7189636,1
842.2299194,863.6146851,-656.2510376,792.9699707,136.7189636,1
840.5849609,857.034729,-656.2510376,796.8762207,136.7189636,1
840.5849609,857.034729,-660.1572876,796.8762207,132.8127136,1
843.874939,848.8098755,-660.1572876,796.8762207,132.8127136,1
847.164856,852.0997925,-648.4385376,789.0637207,140.6252136,1
842.2299194,858.6797485,-660.1572876,796.8762207,136.7189636,1
847.164856,848.8098755,-660.1572876,796.8762207,136.7189636,1
842.2299194,853.744812,-656.2510376,792.9699707,140.6252136,1
840.5849609,847.164856,-656.2510376,792.9699707,140.6252136,1
847.164856,840.5849609,-656.2510376,796.8762207,136.7189636,1
842.2299194,842.2299194,-656.2510376,792.9699707,140.6252136,1
840.5849609,843.874939,-656.2510376,792.9699707,136.7189636,1
845.5198975,852.0997925,-652.3447876,792.9699707,136.7189636,1
843.874939,853.744812,-656.2510376,792.9699707,136.7189636,1
845.5198975,843.874939,-656.2510376,796.8762207,136.7189636,1
845.5198975,853.744812,-652.3447876,792.9699707,140.6252136,1
843.874939,850.454834,-652.3447876,792.9699707,140.6252136,1
842.2299194,842.2299194,-656.2510376,792.9699707,132.8127136,1
850.454834,845.5198975,-656.2510376,792.9699707,136.7189636,1
848.8098755,850.454834,-656.2510376,792.9699707,140.6252136,1
848.8098755,842.2299194,-656.2510376,792.9699707,140.6252136,1
865.2596436,827.4251099,-656.2510376,792.9699707,136.7189636,1
866.9046631,825.7801514,-656.2510376,796.8762207,136.7189636,1
860.324707,834.0050049,-656.2510376,796.8762207,136.7189636,1
850.454834,843.874939,-656.2510376,796.8762207,136.7189636,1
850.454834,837.2949829,-656.2510376,796.8762207,136.7189636,1
850.454834,848.8098755,-656.2510376,792.9699707,136.7189636,1
848.8098755,845.5198975,-652.3447876,792.9699707,136.7189636,1
848.8098755,837.2949829,-660.1572876,796.8762207,132.8127136,1
850.454834,848.8098755,-648.4385376,792.9699707,140.6252136,1
848.8098755,843.874939,-648.4385376,792.9699707,140.6252136,1
848.8098755,838.9400024,-656.2510376,796.8762207,136.7189636,1
840.5849609,845.5198975,-656.2510376,792.9699707,132.8127136,1
850.454834,852.0997925,-656.2510376,792.9699707,132.8127136,1
848.8098755,857.034729,-656.2510376,796.8762207,140.6252136,1
848.8098755,857.034729,-660.1572876,796.8762207,136.7189636,1
848.8098755,857.034729,-656.2510376,792.9699707,140.6252136,1
853.744812,848.8098755,-656.2510376,792.9699707,140.6252136,1
848.8098755,848.8098755,-656.2510376,792.9699707,136.7189636,1
834.0050049,848.8098755,-656.2510376,796.8762207,136.7189636,1
834.0050049,845.5198975,-652.3447876,792.9699707,136.7189636,1
847.164856,845.5198975,-656.2510376,800.7825317,136.7189636,1
