EEG1,EEG2,Acc_X,Acc_Y,Acc_Z,User_Number
792.8805542,878.4194946,-523.4382935,835.9387817,316.4067383,1
812.6203003,868.5496216,-535.1571045,859.3763428,312.5004883,1
825.7801514,837.2949829,-550.7821045,835.9387817,304.6879883,1
847.164856,847.164856,-570.3134155,816.4075317,292.9692078,1
847.164856,847.164856,-554.6883545,820.3137817,292.9692078,1
832.3600464,845.5198975,-531.2508545,839.8450928,304.6879883,1
847.164856,845.5198975,-531.2508545,839.8450928,304.6879883,1
870.1945801,848.8098755,-511.7195435,851.5638428,316.4067383,1
819.2001953,858.6797485,-507.8132935,843.7513428,320.3129883,1
817.5552368,845.5198975,-503.9070435,835.9387817,328.1255188,1
825.7801514,837.2949829,-519.5320435,843.7513428,296.8754578,1
931.0588989,858.6797485,-500.0007935,855.4700928,308.5942383,1
878.4194946,845.5198975,-515.6257935,847.6575928,308.5942383,1
773.1407471,830.7150879,-511.7195435,847.6575928,312.5004883,1
773.1407471,837.2949829,-503.9070435,843.7513428,300.7817078,1
773.1407471,837.2949829,-519.5320435,843.7513428,304.6879883,1
825.7801514,843.874939,-519.5320435,843.7513428,312.5004883,1
773.1407471,830.7150879,-515.6257935,851.5638428,308.5942383,1
931.0588989,863.6146851,-515.6257935,851.5638428,308.5942383,1
845.5198975,834.0050049,-527.3446045,839.8450928,292.9692078,1
792.8805542,764.9158325,-496.0945129,843.7513428,328.1255188,1
792.8805542,764.9158325,-484.3757629,839.8450928,339.8442688,1
792.8805542,764.9158325,-500.0007935,808.5950317,347.6567993,1
950.798645,840.5849609,-550.7821045,843.7513428,269.5316772,1
740.2411499,829.0700684,-531.2508545,824.2200317,238.2816162,1
792.8805542,835.6500244,-531.2508545,824.2200317,238.2816162,1
845.5198975,852.0997925,-523.4382935,839.8450928,250.0003967,1
950.798645,868.5496216,-539.0633545,832.0325317,257.8128967,1
950.798645,868.5496216,-550.7821045,835.9387817,257.8128967,1
792.8805542,838.9400024,-550.7821045,835.9387817,257.8128967,1
792.8805542,842.2299194,-550.7821045,835.9387817,257.8128967,1
845.5198975,845.5198975,-539.0633545,847.6575928,269.5316772,1
824.1351318,850.454834,-519.5320435,875.0013428,285.1567078,1
840.5849609,848.8098755,-531.2508545,843.7513428,285.1567078,1
853.744812,847.164856,-539.0633545,835.9387817,281.2504272,1
845.5198975,843.874939,-519.5320435,851.5638428,277.3441772,1
838.9400024,848.8098755,-511.7195435,847.6575928,285.1567078,1
838.9400024,848.8098755,-507.8132935,843.7513428,292.9692078,1
850.454834,843.874939,-519.5320435,847.6575928,296.8754578,1
840.5849609,843.874939,-519.5320435,847.6575928,296.8754578,1
840.5849609,845.5198975,-546.8758545,832.0325317,300.7817078,1
838.9400024,845.5198975,-546.8758545,832.0325317,300.7817078,1
848.8098755,847.164856,-531.2508545,843.7513428,292.9692078,1
850.454834,845.5198975,-511.7195435,847.6575928,300.7817078,1
843.874939,848.8098755,-519.5320435,851.5638428,300.7817078,1
843.874939,852.0997925,-527.3446045,847.6575928,300.7817078,1
845.5198975,842.2299194,-527.3446045,847.6575928,300.7817078,1
845.5198975,842.2299194,-527.3446045,832.0325317,296.8754578,1
850.454834,840.5849609,-527.3446045,832.0325317,296.8754578,1
837.2949829,840.5849609,-527.3446045,832.0325317,296.8754578,1
840.5849609,845.5198975,-503.9070435,859.3763428,285.1567078,1
837.2949829,843.874939,-503.9070435,859.3763428,285.1567078,1
829.0700684,842.2299194,-523.4382935,843.7513428,292.9692078,1
829.0700684,842.2299194,-531.2508545,839.8450928,289.0629578,1
840.5849609,842.2299194,-531.2508545,839.8450928,289.0629578,1
843.874939,848.8098755,-515.6257935,843.7513428,296.8754578,1
845.5198975,842.2299194,-519.5320435,843.7513428,292.9692078,1
850.454834,830.7150879,-515.6257935,855.4700928,289.0629578,1
850.454834,830.7150879,-523.4382935,847.6575928,292.9692078,1
840.5849609,842.2299194,-523.4382935,847.6575928,292.9692078,1
842.2299194,843.874939,-523.4382935,847.6575928,292.9692078,1
842.2299194,838.9400024,-519.5320435,863.2825928,285.1567078,1
838.9400024,843.874939,-519.5320435,863.2825928,285.1567078,1
838.9400024,843.874939,-515.6257935,855.4700928,289.0629578,1
843.874939,843.874939,-515.6257935,855.4700928,289.0629578,1
838.9400024,842.2299194,-523.4382935,843.7513428,289.0629578,1
838.9400024,842.2299194,-531.2508545,843.7513428,285.1567078,1
848.8098755,840.5849609,-531.2508545,843.7513428,285.1567078,1
840.5849609,842.2299194,-515.6257935,847.6575928,292.9692078,1
847.164856,843.874939,-527.3446045,835.9387817,289.0629578,1
840.5849609,842.2299194,-527.3446045,835.9387817,289.0629578,1
842.2299194,843.874939,-527.3446045,847.6575928,292.9692078,1
842.2299194,843.874939,-527.3446045,839.8450928,296.8754578,1
838.9400024,843.874939,-527.3446045,839.8450928,296.8754578,1
837.2949829,842.2299194,-527.3446045,839.8450928,296.8754578,1
840.5849609,847.164856,-511.7195435,851.5638428,292.9692078,1
845.5198975,845.5198975,-511.7195435,851.5638428,292.9692078,1
835.6500244,842.2299194,-523.4382935,847.6575928,296.8754578,1
848.8098755,853.744812,-515.6257935,843.7513428,292.9692078,1
837.2949829,852.0997925,-515.6257935,843.7513428,292.9692078,1
837.2949829,852.0997925,-523.4382935,847.6575928,292.9692078,1
840.5849609,850.454834,-523.4382935,847.6575928,292.9692078,1
835.6500244,843.874939,-515.6257935,851.5638428,292.9692078,1
843.874939,842.2299194,-519.5320435,843.7513428,292.9692078,1
835.6500244,845.5198975,-519.5320435,843.7513428,292.9692078,1
842.2299194,842.2299194,-523.4382935,847.6575928,304.6879883,1
842.2299194,842.2299194,-523.4382935,851.5638428,300.7817078,1
838.9400024,847.164856,-523.4382935,847.6575928,289.0629578,1
838.9400024,847.164856,-519.5320435,843.7513428,292.9692078,1
843.874939,845.5198975,-515.6257935,839.8450928,296.8754578,1
829.0700684,843.874939,-515.6257935,839.8450928,296.8754578,1
830.7150879,845.5198975,-539.0633545,843.7513428,289.0629578,1
830.7150879,845.5198975,-535.1571045,839.8450928,289.0629578,1
842.2299194,843.874939,-527.3446045,839.8450928,292.9692078,1
840.5849609,842.2299194,-527.3446045,839.8450928,292.9692078,1
837.2949829,842.2299194,-535.1571045,843.7513428,292.9692078,1
827.4251099,848.8098755,-531.2508545,839.8450928,292.9692078,1
827.4251099,848.8098755,-523.4382935,835.9387817,292.9692078,1
840.5849609,843.874939,-523.4382935,835.9387817,292.9692078,1
850.454834,845.5198975,-523.4382935,835.9387817,292.9692078,1
850.454834,848.8098755,-531.2508545,843.7513428,292.9692078,1
848.8098755,845.5198975,-531.2508545,843.7513428,289.0629578,1
863.6146851,829.0700684,-531.2508545,839.8450928,289.0629578,1
863.6146851,829.0700684,-535.1571045,839.8450928,296.8754578,1
848.8098755,832.3600464,-535.1571045,839.8450928,296.8754578,1
880.0644531,814.2652588,-535.1571045,839.8450928,296.8754578,1
901.4492188,797.8154907,-535.1571045,843.7513428,289.0629578,1
894.8693237,796.1704712,-535.1571045,843.7513428,289.0629578,1
871.8395996,819.2001953,-523.4382935,839.8450928,285.1567078,1
871.8395996,819.2001953,-535.1571045,832.0325317,277.3441772,1
865.2596436,834.0050049,-535.1571045,832.0325317,277.3441772,1
857.034729,832.3600464,-535.1571045,839.8450928,265.6254272,1
845.5198975,840.5849609,-535.1571045,835.9387817,269.5316772,1
843.874939,842.2299194,-527.3446045,847.6575928,269.5316772,1
835.6500244,848.8098755,-527.3446045,847.6575928,269.5316772,1
835.6500244,848.8098755,-539.0633545,847.6575928,269.5316772,1
840.5849609,845.5198975,-539.0633545,847.6575928,269.5316772,1
843.874939,847.164856,-531.2508545,855.4700928,265.6254272,1
842.2299194,847.164856,-531.2508545,855.4700928,265.6254272,1
832.3600464,848.8098755,-527.3446045,835.9387817,269.5316772,1
832.3600464,848.8098755,-542.9696045,847.6575928,269.5316772,1
827.4251099,853.744812,-531.2508545,847.6575928,269.5316772,1
827.4251099,853.744812,-535.1571045,843.7513428,261.7191467,1
827.4251099,852.0997925,-535.1571045,843.7513428,261.7191467,1
838.9400024,857.034729,-535.1571045,843.7513428,261.7191467,1
840.5849609,850.454834,-535.1571045,851.5638428,265.6254272,1
